chain_clean	e	o	p	t	v	w	z	DiscrepancyPercent
pppp	0	0	4	0	0	0	0	0.06571
pppp	0	0	4	0	0	0	0	0.16663
ppppp	0	0	5	0	0	0	0	0.1826
pppp	0	0	4	0	0	0	0	0.07776
ppp	0	0	3	0	0	0	0	0.07369
pppp	0	0	4	0	0	0	0	0.11514
ppppp	0	0	5	0	0	0	0	0.04554
pppp	0	0	4	0	0	0	0	0.03538
pppp	0	0	4	0	0	0	0	0.04324
ppppp	0	0	5	0	0	0	0	0.03957
pppp	0	0	4	0	0	0	0	0.03867
ppp	0	0	3	0	0	0	0	0.02736
pppp	0	0	4	0	0	0	0	0.03075
ppppp	0	0	5	0	0	0	0	0.05718
pppp	0	0	4	0	0	0	0	0.04065
ppppp	0	0	5	0	0	0	0	0.05589
pppp	0	0	4	0	0	0	0	0.06483
ppppp	0	0	5	0	0	0	0	0.08695
ppp	0	0	3	0	0	0	0	0.06745
pppp	0	0	4	0	0	0	0	0.07492
pppp	0	0	4	0	0	0	0	0.07882
ppppp	0	0	5	0	0	0	0	0.08728
pppp	0	0	4	0	0	0	0	0.07851
pppp	0	0	4	0	0	0	0	0.07802
ppppp	0	0	5	0	0	0	0	0.08151
ppp	0	0	3	0	0	0	0	0.05688
pppp	0	0	4	0	0	0	0	0.06769
pppp	0	0	4	0	0	0	0	0.0692
ppppp	0	0	5	0	0	0	0	0.07635
pppp	0	0	4	0	0	0	0	0.07383
pppp	0	0	4	0	0	0	0	0.06859
ppppp	0	0	5	0	0	0	0	0.12971
ppp	0	0	3	0	0	0	0	0.10185
pppp	0	0	4	0	0	0	0	0.11568
pppp	0	0	4	0	0	0	0	0.12246
ppppp	0	0	5	0	0	0	0	0.13212
pppp	0	0	4	0	0	0	0	0.11896
ppppp	0	0	5	0	0	0	0	0.10015
ppp	0	0	3	0	0	0	0	0.09406
pppp	0	0	4	0	0	0	0	0.08516
pppp	0	0	4	0	0	0	0	0.102
ppppp	0	0	5	0	0	0	0	0.06981
pppp	0	0	4	0	0	0	0	0.0763
ppppp	0	0	5	0	0	0	0	0.14148
pppp	0	0	4	0	0	0	0	0.13627
ppppp	0	0	5	0	0	0	0	0.13213
pppp	0	0	4	0	0	0	0	0.12666
ppppp	0	0	5	0	0	0	0	0.06561
pppp	0	0	4	0	0	0	0	0.05543
ppppp	0	0	5	0	0	0	0	0.0646
